epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,229.88,0.95055,0.7585,1.48317,0.86149,0.55627,0.90371,0.61535,1.58493,1.38013,1.35945,2.84938e-05,2.84938e-05,2.84938e-05
64,233.903,0.61819,0.54459,1.03437,0.86149,0.55627,0.90371,0.61535,1.58493,1.38013,1.35945,2.82112e-05,2.82112e-05,2.82112e-05
65,237.592,0.69326,0.47934,1.07758,0.86149,0.55627,0.90371,0.61535,1.58493,1.38013,1.35945,2.7905e-05,2.7905e-05,2.7905e-05
66,241.504,0.52777,0.44055,1.09955,0.93623,0.53284,0.90137,0.59295,1.62424,1.44254,1.3816,2.75753e-05,2.75753e-05,2.75753e-05
67,245.333,0.57703,0.45941,0.98804,0.93623,0.53284,0.90137,0.59295,1.62424,1.44254,1.3816,2.7222e-05,2.7222e-05,2.7222e-05
68,249.093,0.62882,0.61643,1.10179,0.93623,0.53284,0.90137,0.59295,1.62424,1.44254,1.3816,2.68451e-05,2.68451e-05,2.68451e-05
69,253.801,0.58919,0.56232,1.06809,0.90047,0.54743,0.87262,0.59119,1.61058,1.48349,1.37452,2.64447e-05,2.64447e-05,2.64447e-05
70,257.573,0.72671,0.8146,1.12092,0.90047,0.54743,0.87262,0.59119,1.61058,1.48349,1.37452,2.60207e-05,2.60207e-05,2.60207e-05
71,261.574,0.44983,0.40085,0.92859,0.90047,0.54743,0.87262,0.59119,1.61058,1.48349,1.37452,2.55731e-05,2.55731e-05,2.55731e-05
72,265.7,0.53889,0.36305,0.92813,0.93462,0.53208,0.87348,0.57638,1.63165,1.53391,1.3931,2.5102e-05,2.5102e-05,2.5102e-05
73,269.706,0.55846,0.54821,1.0516,0.93462,0.53208,0.87348,0.57638,1.63165,1.53391,1.3931,2.46073e-05,2.46073e-05,2.46073e-05
74,273.609,0.63953,0.55115,1.06671,0.93462,0.53208,0.87348,0.57638,1.63165,1.53391,1.3931,2.40891e-05,2.40891e-05,2.40891e-05
75,277.921,0.72637,0.63532,1.27738,0.91316,0.53289,0.89739,0.58333,1.61794,1.56085,1.39146,2.35472e-05,2.35472e-05,2.35472e-05
76,281.778,0.58202,0.46162,1.04229,0.91316,0.53289,0.89739,0.58333,1.61794,1.56085,1.39146,2.29819e-05,2.29819e-05,2.29819e-05
77,285.617,0.55725,0.49167,1.08011,0.91316,0.53289,0.89739,0.58333,1.61794,1.56085,1.39146,2.23929e-05,2.23929e-05,2.23929e-05
78,289.612,0.7062,0.79956,1.14391,0.89398,0.54457,0.89526,0.58733,1.61899,1.60097,1.39089,2.17805e-05,2.17805e-05,2.17805e-05
79,293.443,0.49324,0.48995,0.97843,0.89398,0.54457,0.89526,0.58733,1.61899,1.60097,1.39089,2.11444e-05,2.11444e-05,2.11444e-05
80,297.578,0.65236,0.42483,1.00872,0.89398,0.54457,0.89526,0.58733,1.61899,1.60097,1.39089,2.04848e-05,2.04848e-05,2.04848e-05
81,301.491,0.60749,0.49737,1.14841,0.88411,0.55,0.86742,0.57896,1.60313,1.60569,1.38827,1.98016e-05,1.98016e-05,1.98016e-05
82,305.164,0.45365,0.34731,0.96191,0.88411,0.55,0.86742,0.57896,1.60313,1.60569,1.38827,1.90949e-05,1.90949e-05,1.90949e-05
83,308.681,0.5349,0.46518,1.06537,0.88411,0.55,0.86742,0.57896,1.60313,1.60569,1.38827,1.83646e-05,1.83646e-05,1.83646e-05
84,312.525,0.34589,0.32143,0.93022,0.85857,0.55,0.89605,0.58766,1.59446,1.60899,1.38488,1.76107e-05,1.76107e-05,1.76107e-05
85,316.382,0.54481,0.50894,1.00107,0.85857,0.55,0.89605,0.58766,1.59446,1.60899,1.38488,1.68333e-05,1.68333e-05,1.68333e-05
86,320.198,0.80666,0.62005,1.327,0.85857,0.55,0.89605,0.58766,1.59446,1.60899,1.38488,1.60323e-05,1.60323e-05,1.60323e-05
87,324.211,0.73454,0.65421,1.17972,0.85857,0.55,0.89605,0.58766,1.59446,1.60899,1.38488,1.52077e-05,1.52077e-05,1.52077e-05
88,328.139,0.48484,0.38647,1.04816,0.83269,0.55,0.89514,0.59351,1.58982,1.61767,1.38863,1.43596e-05,1.43596e-05,1.43596e-05
89,331.858,0.649,0.56677,1.09212,0.83269,0.55,0.89514,0.59351,1.58982,1.61767,1.38863,1.34879e-05,1.34879e-05,1.34879e-05
90,335.621,0.56229,0.53847,0.98061,0.83269,0.55,0.89514,0.59351,1.58982,1.61767,1.38863,1.25927e-05,1.25927e-05,1.25927e-05
91,339.312,0.37777,0.31103,1.00894,0.83269,0.55,0.89514,0.59351,1.58982,1.61767,1.38863,1.16739e-05,1.16739e-05,1.16739e-05
92,343.036,0.40234,0.35284,0.86581,0.81422,0.55,0.86402,0.58322,1.58424,1.57905,1.39288,1.07315e-05,1.07315e-05,1.07315e-05
93,345.522,0.59692,0.45286,1.16213,0.81422,0.55,0.86402,0.58322,1.58424,1.57905,1.39288,9.76562e-06,9.76562e-06,9.76562e-06
94,347.805,0.4524,0.35323,0.97365,0.81422,0.55,0.86402,0.58322,1.58424,1.57905,1.39288,8.77613e-06,8.77613e-06,8.77613e-06
95,350.131,0.71532,0.45077,1.2542,0.81422,0.55,0.86402,0.58322,1.58424,1.57905,1.39288,7.76308e-06,7.76308e-06,7.76308e-06
96,352.608,0.40698,0.3487,0.9567,0.81006,0.55,0.86032,0.59946,1.55644,1.57866,1.38139,6.72648e-06,6.72648e-06,6.72648e-06
97,355.002,0.38114,0.31984,0.90937,0.81006,0.55,0.86032,0.59946,1.55644,1.57866,1.38139,5.6663e-06,5.6663e-06,5.6663e-06
98,358.001,0.35945,0.30256,0.93661,0.81006,0.55,0.86032,0.59946,1.55644,1.57866,1.38139,4.58257e-06,4.58257e-06,4.58257e-06
99,361.754,0.43056,0.34946,0.88306,0.81006,0.55,0.86032,0.59946,1.55644,1.57866,1.38139,3.47528e-06,3.47528e-06,3.47528e-06
100,365.649,0.36127,0.32922,0.90691,0.81107,0.55,0.85839,0.62755,1.52509,1.54005,1.36745,2.34442e-06,2.34442e-06,2.34442e-06
